Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,0.4636,0.4636,0.4636,0.4636,0.4981,0.5264,0.6914,0.7511,0.7653,0.9743,0.9664,1.0683,0.9127,0.8019,0.9693,0.9856,1.0445,0.8473,0.7992,0.9812,0.8659,0.77,0.6969,0.3677,0.2546,0.2457,0.2713,0.3263,0.2855,0.1989,0.2208,0.0911,0.0581,0.0249,0.027,0.1242,0.1719,0.1395,0.1051,0.1091,0.1085,0.1252,0.127,0.1317,0.1647,0.1436,0.1068,0.1145,0.061,0.0357,0.0324,0.0317,0.0258,0.0223
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,0.0421,0.0421,0.0421,0.0421,0.011,0.0402,0.0283,0.0138,0.0105,0.0096,0.0082,0.0082,0.0082,0.0135,0.0141,0.0137,0.013,0.0171,0.0159,0.016,0.0159,0.0157,0.0198,0.0167,0.0162,0.0152,0.0168,0.0116,0.013,0.0137,0.0107,0.0102,0.0096,0.0104,0.0118,0.0063,0.0091,0.0046,0.0057,0.0041,0.0055,0.0061,0.0068,0.0031,0.0055,0.0041,0.0046,0.0036,0.0058,0.0039,0.0057,0.0035,0.0036,0.0036
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,1.6589,1.6589,1.6589,1.6589,1.3725,1.4161,1.5013,1.5174,1.7102,1.7275,1.8295,1.7852,1.7037,1.7291,1.6875,1.6625,1.1075,0.8139,1.0222,1.1313,0.9619,0.5213,0.5033,0.4972,0.1351,0.1748,0.256,0.2124,0.233,0.1959,0.2886,0.3008,0.2721,0.2454,0.2762,0.2331,0.1907,0.2212,0.166,0.1451,0.243,0.208,0.2022,0.2918,0.339,0.2824,0.2824,0.2972,0.198,0.1641,0.1489,0.159,0.1471,0.1359
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,0.0079,0.0079,0.0079,0.0079,0.0039,0.0072,0.0108,0.0088,0.0092,0.0098,0.0131,0.0136,0.0171,0.0168,0.0137,0.0119,0.0113,0.0141,0.0145,0.0243,0.0271,0.0238,0.0251,0.0299,0.0325,0.0697,0.0948,0.1121,0.1152,0.1152,0.1283,0.0948,0.0697,0.0822,0.0681,0.0681,0.0586,0.0564,0.0519,0.11,0.0697,0.0665,0.0602,0.0508,0.0595,0.0718,0.0563,0.0756,0.0737,0.1092,0.1145,0.0561,0.0587,0.0558
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,0.127,0.127,0.127,0.127,0.0882,0.1248,0.0916,0.1279,0.1032,0.115,0.1084,0.1116,0.1142,0.1011,0.1193,0.1191,0.118,0.1312,0.0973,0.1418,0.1301,0.164,0.1299,0.1186,0.1318,0.1545,0.176,0.1838,0.1692,0.1621,0.1334,0.1848,0.1754,0.1506,0.1691,0.1307,0.1847,0.1071,0.1418,0.1889,0.1877,0.1439,0.1788,0.1384,0.1903,0.1672,0.1851,0.1666,0.189,0.1836,0.2077,0.1804,0.1836,0.1869
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,0.053,0.053,0.053,0.053,0.0615,0.0262,0.1005,0.1157,0.0722,0.08,0.0701,0.0578,0.0487,0.0777,0.0723,0.068,0.0491,0.0417,0.054,0.0732,0.0625,0.0718,0.0907,0.088,0.0875,0.1006,0.1131,0.162,0.1489,0.1278,0.1167,0.1733,0.2127,0.2089,0.2503,0.0833,0.1888,0.2333,0.2295,0.1808,0.1926,0.2587,0.2739,0.3083,0.3555,0.357,0.5427,0.3889,0.4783,0.4256,0.4768,0.5443,0.5446,0.5457
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,0.8258,0.8258,0.8258,0.8258,0.8329,0.7511,0.8182,0.8622,0.9507,1.3517,1.4467,1.3684,1.4265,1.3659,1.3436,1.3986,1.9693,1.9156,1.989,1.966,1.9286,2.0334,1.8637,2.0931,1.8681,2.6243,2.4692,2.3729,2.5111,2.315,2.6133,2.7484,2.6519,2.5122,3.0377,2.9449,2.6674,2.4667,2.4626,2.6593,2.5563,2.5929,2.1206,2.2492,2.265,2.4841,2.7014,2.7937,2.9487,2.737,2.8147,2.7983,2.7872,2.7608
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,0.2043,0.2043,0.2043,0.2043,0.2043,0.2059,0.2301,0.2301,0.294,0.1826,0.1692,0.2899,0.1873,0.244,0.1886,0.2208,0.2195,0.2368,0.2367,0.2242,0.19,0.2162,0.2062,0.1938,0.1938,0.154,0.1744,0.284,0.2011,0.2032,0.1842,0.1898,0.1437,0.0921,0.1708,0.2078,0.1495,0.1512,0.1891,0.2316,0.1864,0.2273,0.2174,0.153,0.1925,0.2381,0.1769,0.2627,0.2399,0.1813,0.2719,0.1865,0.1885,0.1904
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Estonia,EST,..,..,..,..,..,..,..,..,..,..,0.0766,0.0766,0.0766,0.0766,0.0831,0.0831,0.0879,0.0986,0.101,0.1039,0.1066,0.1069,0.1068,0.1137,0.1138,0.1164,0.1208,0.1237,0.1149,0.0937,0.0879,0.0821,0.0764,0.0805,0.0685,0.0591,0.0533,0.0449,0.054,0.0442,0.0514,0.0581,0.0595,0.0526,0.0564,0.0526,0.0318,0.0278,0.0639,0.0794,0.0586,0.0606,0.0599,0.0691,0.0754,0.0943,0.0817,0.0817,0.0857,0.0854,0.0864,0.071,0.071,0.071
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,0.0138,0.0138,0.0138,0.0138,0.014,0.0224,0.0223,0.0188,0.0205,0.0281,0.0291,0.0295,0.0276,0.0318,0.0245,0.01,0.0238,0.0403,0.0393,0.0471,0.0468,0.0498,0.0592,0.0558,0.0781,0.0897,0.147,0.1009,0.1361,0.1435,0.1368,0.1943,0.154,0.032,0.1755,0.188,0.1713,0.1729,0.1608,0.1807,0.1886,0.2305,0.3248,0.2807,0.3398,0.485,0.4648,0.3356,0.3518,0.3372,0.4061,0.4032,0.4364,0.4723
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Finland,FIN,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0.0112,0.0116,0.011,0.0079,0.0071,0,0.0157,0.0273,0.0371,0.0385,0.0151,0.0266,0.0016,0,0,0,0.0021,0.01,0,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0031,0.0031,0,0.0016,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,France,FRA,..,..,..,..,..,..,..,..,..,..,2.7846,2.7846,2.7846,2.7846,2.552,2.8946,3.0156,3.1036,3.4336,3.8186,3.5153,3.6504,3.4807,3.6347,3.6819,3.883,4.1934,4.1118,4.0648,3.9888,4.0051,4.004,2.5049,2.7107,3.5316,3.7408,3.8736,4.0059,3.8645,4.1409,3.6665,3.8549,3.7583,3.7924,3.8014,2.9853,2.8081,3.0596,2.6953,2.747,2.761,2.4006,2.7471,2.6399,2.5766,2.7207,2.7342,2.6147,2.4917,2.5128,1.9242,2.0937,1.9855,2.2318
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999,0.0786,0.0849,0.0999,0.0691,0.0769,0.0564,0.0577,0.0648,0.0719,0.0725,0.103,0.0841,0.0853,0.0868
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Germany,DEU,..,..,..,..,..,..,..,..,..,..,1.5579,1.5579,1.5579,1.5579,1.5435,1.3305,1.6115,1.6201,1.5268,1.5933,1.626,1.6327,1.5761,1.524,1.4764,1.5086,1.6167,1.5637,1.5974,1.6751,0.4505,0.5128,0.4484,0.4101,0.5505,0.4583,0.2931,0.3085,0.3407,0.3636,0.4589,0.4447,0.4479,0.484,1.2427,1.2851,0.8288,0.874,1.0092,0.8329,1.0643,1.08,1.0599,1.104,1.1969,1.2637,1.192,1.2335,0.8856,0.8402,0.7343,0.6946,0.6193,0.566
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Greece,GRC,..,..,..,..,..,..,..,..,..,..,0.4777,0.4777,0.4777,0.4777,0.4372,0.4293,0.5095,0.5285,0.6361,0.685,0.6221,0.6075,0.6935,0.7466,0.7015,0.7889,0.6961,0.5854,0.625,0.6202,0.6217,0.6075,0.5924,0.4714,0.5469,0.4683,0.5421,0.4903,0.3761,0.374,0.3719,0.3394,0.33,0.3331,0.2986,0.2986,0.253,0.242,0.1446,0.1933,0.242,0.2017,0.1938,0.1773,0.1966,0.2015,0.2056,0.2111,0.1875,0.1919,0.1935,0.1483,0.1487,0.143
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,0.0754,0.0754,0.0754,0.0754,0.0786,0.0786,0.1116,0.1232,0.1037,0.0943,0.121,0.0943,0.1301,0.0834,0.1226,0.143,0.1729,0.1864,0.1259,0.2,0.2106,0.2376,0.2389,0.1964,0.2986,0.297,0.2766,0.3064,0.2986,0.3127,0.2561,0.2096,0.1619,0.0995,0.2104,0.2072,0.2859,0.1949,0.243,0.2721,0.2605,0.2909,0.3308,0.3884,0.4112,0.3428,0.3836,0.4026,0.4788,0.4423,0.5684,0.4347,0.439,0.4434
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,0.9182,0.9182,0.9182,0.9182,0.9586,0.977,0.9304,0.9639,0.9433,0.911,0.8928,0.9039,1.0518,1.0618,1.0402,0.8896,0.944,0.9793,1.0269,0.8838,0.6826,0.5255,0.2546,0.5758,0.5924,0.6133,0.7776,0.7274,0.7037,0.7506,0.7794,0.8093,0.7606,0.7197,0.6768,0.6726,0.6872,0.649,0.4599,0.4662,0.326,0.3473,0.3347,0.341,0.2975,0.2106,0.1524,0.1681,0.1708,0.167,0.1609,0.1643,0.1672,0.1725
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,0.0072,0.0072,0.0072,0.0072,0.0088,0.0097,0.0101,0.0097,0.0097,0.0091,0.0082,0.0057,0.0044,0.0063,0.0063,0.0063,0.0057,0.005,0.0075,0.0044,0.0041,0.0038,0.006,0.0066,0.0101,0.0025,0.0022,0.0031,0.0016,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0.0006,0.0007,0.0008
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,India,IND,..,..,..,..,..,..,..,..,..,..,2.462,2.462,2.462,2.462,3.2359,3.1233,3.5334,4.2887,4.5382,5.391,5.3107,5.766,6.1367,7.0405,8.1353,8.7471,10.0755,8.7907,11.0556,11.2683,11.8431,12.4567,13.0413,13.5067,14.4407,15.0086,15.9662,16.9928,17.6746,18.1477,16.8848,17.4263,16.0441,17.1071,17.9949,19.4124,21.1051,22.1268,23.2943,23.8766,25.2412,25.9393,25.8602,25.5587,25.6624,26.1607,25.3388,25.8574,26.91,29.1932,30.9691,29.2446,29.9048,30.5827
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,0.5782,0.5782,0.5782,0.5782,0.632,0.6195,0.6575,0.8941,1.0088,1.1565,1.6494,1.8352,2.0476,1.9959,2.4241,2.5111,2.6211,2.8537,3.075,2.8903,3.1243,3.0385,3.2701,3.0813,3.1994,3.5059,3.8571,3.2623,3.7515,3.5738,3.5589,3.5692,3.994,4.1095,4.3403,4.5873,4.2312,4.5325,4.7981,5.8957,5.3935,5.0755,5.8411,5.0164,5.1607,5.8387,5.4364,5.7918,6.1572,5.9428,5.5838,5.8428,5.913,5.8916
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,0.2692,0.2692,0.2692,0.2692,0.3355,0.3313,0.3378,0.4323,0.312,0.5049,0.5638,0.721,0.9088,1.066,0.9048,0.8604,0.9343,0.928,0.9274,1.3485,1.0685,1.2126,1.5268,1.0359,1.1354,1.1525,1.252,1.485,1.5845,1.4308,1.5406,1.4957,1.49,1.563,1.7683,1.5547,1.8962,1.6395,1.8815,1.749,1.8255,1.4562,1.4976,1.2629,1.4279,1.0666,1.4067,1.5361,1.6365,1.6267,1.6263,1.6055,1.6511,1.6929
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,0.0633,0.0633,0.0633,0.0633,0.0864,0.1614,0.1586,0.2,0.1971,0.1969,0.1424,0.0957,0.0954,0.0696,0.1301,0.1163,0.1241,0.1501,0.1659,0.1212,0.1084,0.1116,0.1037,0.3688,0.3939,0.3667,0.3991,0.4038,0.4216,0.4184,0.4031,0.3925,0.6902,0.0318,0.0054,0.1962,0.2191,0.1677,0.2169,0.2357,0.1914,0.2131,0.2408,0.3035,0.3335,0.2851,0.393,0.2595,0.3481,0.3504,0.1244,0.1148,0.0643,0.0369
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,0.0336,0.0336,0.0336,0.0336,0.0207,0.0306,0.0339,0.0332,0.0426,0.0619,0.086,0.0833,0.1061,0.1048,0.1015,0.1339,0.1634,0.1367,0.099,0.1084,0.1116,0.1163,0.11,0.1477,0.1021,0.0927,0.0849,0.0974,0.1084,0.1006,0.1021,0.0911,0.0911,0.1273,0.0849,0.0534,0.0795,0.0509,0.0897,0.1142,0.0907,0.1198,0.0906,0.1357,0.1355,0.1532,0.1515,0.167,0.1648,0.1738,0.1839,0.1731,0.1771,0.1786
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Israel,ISR,..,..,..,..,..,..,..,..,..,..,0.0954,0.0954,0.0954,0.0954,0.1062,0.1172,0.1087,0.1039,0.0962,0.0849,0.102,0.1012,0.0872,0.0808,0.0864,0.0849,0.0811,0.0743,0.0713,0.0757,0.0688,0.0519,0.0581,0.044,0.0707,0.0911,0.0723,0.0676,0.0707,0.0739,0.0613,0.0674,0.0688,0.0772,0.068,0.0302,0.0395,0.0313,0.0324,0.0548,0.0362,0.0398,0.0383,0.0345,0.0435,0.0542,0.0811,0.062,0.0654,0.0457,0.0653,0.0717,0.0718,0.0714
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Italy,ITA,..,..,..,..,..,..,..,..,..,..,1.0351,1.0351,1.0351,1.0351,1.0392,0.9974,0.99,1.1846,1.5115,1.5217,1.362,1.2352,1.2775,1.2831,1.2017,1.307,1.3828,1.2887,1.0869,0.9743,0.9895,1.2021,1.1204,1.211,1.2294,1.1367,1.2058,1.1712,1.2545,1.2823,1.2142,1.2194,1.1854,1.1288,0.9643,0.9271,0.9308,0.967,0.8177,0.8795,0.9308,0.8365,0.8994,0.925,0.869,0.9533,0.8847,0.8821,0.8418,0.8355,0.903,0.8285,0.8006,0.7826
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
